Tên người nhận xét,Đánh giá,Nội dung,Thời gian
Jennifer Kim,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",16/10/2025 15:06
Maria Garcia,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",05/02/2026 15:06
Patrick,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",01/01/2026 15:06
Marcus Chen,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",06/03/2026 15:06
Maria Garcia,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",31/12/2025 15:06
Ngô Minh Khang,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",10/11/2025 15:06
Sarah Thompson,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",13/01/2026 15:06
Trần Thị Hương,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",27/11/2025 15:06
Nguyễn Văn Anh,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",07/12/2025 15:06
Jennifer Kim,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",06/02/2026 15:06
Linh Phương,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",05/02/2026 15:06
Vũ Hương,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",18/03/2026 15:06
David Kim,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",16/03/2026 15:06
Maria Garcia,5,"Chủ quán cựu barista Australia. Anh tâm sự mỗi tách cà phê tạo tình yêu + kỹ thuật. Flat White hương vị tuyệt, mịn như lụa.",14/11/2025 15:06
Phạm Huỳnh Minh Tuấn,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",07/01/2026 15:06
Đỗ Thanh Hồng,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",02/02/2026 15:06
Alex Brown,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",07/10/2025 15:06
Trần Thị Hương,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",08/02/2026 15:06
Hoàng Nhật Hà,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",14/10/2025 15:06
Sarah Thompson,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",29/12/2025 15:06
Hoàng Nhật Hà,5,"Amazing! Tìm by accident. Owner friendly, explained culture. Egg coffee silky sweet. Come back tomorrow. Wifi changed inconvenient.",04/03/2026 15:06
Phạm Huỳnh Minh Tuấn,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",22/10/2025 15:06
Trần Thị Hương,5,"Chủ quán cựu barista Australia. Anh tâm sự mỗi tách cà phê tạo tình yêu + kỹ thuật. Flat White hương vị tuyệt, mịn như lụa.",20/01/2026 15:06
David Kim,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",01/12/2025 15:06
Lê Thu Oanh,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",14/11/2025 15:06
Đỗ Thanh Hồng,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",07/02/2026 15:06
Trần Vinh,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",05/11/2025 15:06
Michael Wilson,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",06/10/2025 15:06
Maria Garcia,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",14/11/2025 15:06
Marcus Chen,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",10/10/2025 15:06
Lê Thu Oanh,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",22/02/2026 15:06
David Kim,5,"Đã ghé 10+ lần. Cà phê ngon, không đắng hay nhạt. Lớp foam cappuccino mịn tuyệt. Không gian yên, wifi tốt. Nhân viên nhớ tên và loại yêu thích. Hôm chờ 15p vì bận.",12/02/2026 15:06
Hoàng Nhật Hà,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",09/12/2025 15:06
David Kim,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",14/03/2026 15:06
Alex Brown,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",20/12/2025 15:06
David Kim,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",16/03/2026 15:06
Trần Vinh,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",08/12/2025 15:06
Trần Vinh,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",02/03/2026 15:06
Jennifer Kim,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",16/02/2026 15:06
Vũ Hương,5,"Amazing! Tìm by accident. Owner friendly, explained culture. Egg coffee silky sweet. Come back tomorrow. Wifi changed inconvenient.",21/10/2025 15:06
Maria Garcia,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",10/11/2025 15:06
Sarah Thompson,5,"Coffee enthusiast thử nhiều quán. Một trong những tốt nhất. Hạt rang riêng, mùi thơm sáng. Chủ giỏi nói origin, altitude, fermentation.",18/02/2026 15:06
Chen,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",05/01/2026 15:06
Lê Thu Oanh,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",23/10/2025 15:06
Nguyễn Minh Tiến,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",14/10/2025 15:06
Nguyễn Văn Anh,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",19/02/2026 15:06
Jennifer Kim,5,"Chủ quán cựu barista Australia. Anh tâm sự mỗi tách cà phê tạo tình yêu + kỹ thuật. Flat White hương vị tuyệt, mịn như lụa.",12/12/2025 15:06
Jennifer Kim,5,"Giá hơi cao nhưng xứng. Cà phê tốt, pastry ngon, croissant nổi tiếng. Hôm phục vụ chậm, chờ 20p.",04/03/2026 15:06
Jennifer Kim,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",13/12/2025 15:06
Maria Garcia,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",16/01/2026 15:06
Giovanni,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",28/12/2025 15:06
Trần Vinh,5,"Ấn tượng cách phục vụ. Nhân viên kiểm tra lạnh, nếu quá thay cốc. Cà phê khác từ trước nhưng ngon.",04/12/2025 15:06
Linh Phương,5,"Cà phê yên bình nhưng đắt quá! 100k/tách. Quán bận hết chỗ ngồi. Nhân viên hơi vô ý. Mất vẻ nhỏ xinh trước.",16/02/2026 15:06
Hoàng Nhật Hà,5,"Ghé trốn ồn. Quán yên tĩnh. Cà phê mát lạnh, mùi thơm. Cà phê sữa đặc - máy foam Italy. Tuyệt!",22/12/2025 15:06
Vũ Hương,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",24/01/2026 15:06
David Kim,5,"Lần đầu tới hơi ngại nhưng thiết kế đẹp, tường hình phố Hà Nội xưa. Cà phê mùi chua lạ lẫm, hỏi thì loại đặc từ Đà Lạt. Sẽ quay lại thử khác.",19/11/2025 15:06
Nguyễn Văn Anh,5,"Quán hay khách nước ngoài. Hôm chứng kiến giải thích pha cà phê cho Pháp. Lâu lâu vui. Ngon, không phàn nàn.",19/02/2026 15:06
Trần Thị Hương,5,"Chủ quán cựu barista Australia. Anh tâm sự mỗi tách cà phê tạo tình yêu + kỹ thuật. Flat White hương vị tuyệt, mịn như lụa.",01/02/2026 15:06
Alex Brown,5,"Quán nhỏ xinh, décor đẹp, bàn ngoài sân. Cà phê dưới nắng sướng. Nhân viên vui cười. Chỉ tiếc bánh hết.",17/01/2026 15:06
